
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
lat                         12,262 2,359,458.000  6,887.822  2,351,113.000 2,400,056.000 
lon                         12,262  615,023.800  11,023.520   580,446.100   637,819.700  
PropertyTypeCondo_Townhouse 12,262     1.000        0.000          1             1       
PropertyTypeSingle Family   12,262     0.000        0.000          0             0       
StoriesOne                  12,262     0.272        0.445          0             1       
StoriesTwo                  12,262     0.187        0.390          0             1       
StoriesMulti                12,262     0.542        0.498          0             1       
year                        12,262   2,017.652      1.157        2,016         2,020     
LUCResidential              12,262     0.095        0.294          0             1       
LUCAgriculture              12,262    0.0002        0.016          0             1       
LUCApartment-HD             12,262     0.054        0.226          0             1       
LUCApartment-LD             12,262     0.214        0.410          0             1       
LUCApartment-MD             12,262     0.283        0.451          0             1       
LUCBusiness                 12,262     0.074        0.261          0             1       
LUCOther                    12,262     0.214        0.410          0             1       
LUCResort                   12,262     0.065        0.246          0             1       
condAverage                 12,262     0.171        0.376          0             1       
condExcellent               12,262     0.388        0.487          0             1       
condAbove Average           12,262     0.418        0.493          0             1       
condFair                    12,262     0.023        0.151          0             1       
Parking0                    12,262     0.107        0.310          0             1       
Parking1                    12,262     0.458        0.498          0             1       
Parking2                    12,262     0.417        0.493          0             1       
Parking3                    12,262     0.009        0.092          0             1       
Parking4                    12,262     0.008        0.087          0             1       
Parking5 or More            12,262     0.001        0.035          0             1       
fld_zoneAE                  12,262     0.227        0.419          0             1       
fld_zoneA                   12,262     0.010        0.098          0             1       
fld_zoneAH                  12,262     0.001        0.027          0             1       
fld_zoneAO                  12,262     0.075        0.264          0             1       
fld_zoneD                   12,262     0.271        0.444          0             1       
fld_zoneVE                  12,262     0.008        0.087          0             1       
fld_zoneX                   12,262     0.409        0.492          0             1       
-----------------------------------------------------------------------------------------

=========================================================================================
Statistic                     N        Mean       St. Dev.        Min           Max      
-----------------------------------------------------------------------------------------
num_sale                    11,242     1.293        0.525          1             5       
Covid                       11,242     1.000        0.000          1             1       
Covid2                      11,242     0.896        0.306          0             1       
Cases                       11,242    316.539      574.305         0           4,021     
BathsFull                   11,242     1.499        0.555          0             6       
BathsHalf                   11,242     0.172        0.384          0             4       
BedsTotal                   11,242     1.805        0.924          0             8       
DOM                         11,242    39.636       63.026          0            946      
livSQFT                     11,242    877.624      393.270        120          10,740    
SQFTGarageCarport           11,242    30.884       104.365         0           1,380     
real.list.price             11,242  667,139.800  585,178.000  85,418.510   17,256,276.000
real.close.price            11,242  662,294.200  550,128.100  85,418.510   12,768,128.000
diff.price                  11,242   4,193.173   63,221.440    -300,000      4,750,000   
Basement                    11,242     0.002        0.041          0             1       
Split                       11,242     0.026        0.158          0             1       
PUD                         11,242     0.005        0.070          0             1       
LowRise                     11,242     0.160        0.366          0             1       
HighRise                    11,242     0.540        0.498          0             1       
Townhouse                   11,242     0.301        0.459          0             1       
Condotel                    11,242     0.063        0.243          0             1       
SingleFam                   11,242     0.002        0.045          0             1       
Duplex                      11,242     0.000        0.000          0             0       
MultiDwell                  11,242     0.000        0.000          0             0       
WalkUP                      11,242     0.078        0.269          0             1       
pool                        11,242    0.0001        0.009          0             1       
Age                         11,242    37.127       16.329          0             83      
Age2                        11,242     1.645        1.065        0.000         6.889     
Age.r                       11,242     1.543        4.246          0             45      
SqftTotal                   11,242    957.717      440.658        175          11,155    
par_area                    11,242     4.952        6.964        0.014        111.969    
beach                       11,242     1.716        2.198        0.000         12.788    
park                        11,242     0.347        0.278        0.000         2.165     
hospital                    11,242     3.237        3.607        0.015         20.403    
airport                     11,242     7.569        5.144        0.993         25.136    
elem_sch                    11,242     1.237        5.889        0.043        196.490    
mid_sch                     11,242     1.967        1.329        0.071         7.279     
high_sch                    11,242     1.813        1.206        0.034         6.508     
per_white                   11,242     0.268        0.180        0.000         0.828     
per_black                   11,242     0.023        0.035        0.000         0.241     
per_asian                   11,242     0.444        0.193        0.014         1.000     
per_hawaian                 11,242     0.058        0.087        0.000         0.640     
per_occupied                11,242     0.831        0.191        0.107         1.000     
per_vacant                  11,242     0.168        0.190        0.000         0.893     
per_owner                   11,242     0.574        0.196        0.028         0.981     
per_renter                  11,242     0.425        0.195        0.019         0.972     
HOA                         11,242    12.864       44.063          0           1,000     
Elevator                    11,242     1.252        1.844          0             23      
remod                       11,242     0.388        0.487          0             1       
lat                         11,242 2,359,648.000  6,856.735  2,351,215.000 2,400,056.000 
lon                         11,242  614,307.800  11,739.610   580,446.100   637,819.700  
PropertyTypeCondo_Townhouse 11,242     1.000        0.000          1             1       
PropertyTypeSingle Family   11,242     0.000        0.000          0             0       
StoriesOne                  11,242     0.245        0.430          0             1       
StoriesTwo                  11,242     0.207        0.405          0             1       
StoriesMulti                11,242     0.549        0.498          0             1       
year                        11,242   2,021.098      0.753        2,020         2,023     
LUCResidential              11,242     0.105        0.306          0             1       
LUCAgriculture              11,242     0.001        0.028          0             1       
LUCApartment-HD             11,242     0.058        0.233          0             1       
LUCApartment-LD             11,242     0.217        0.412          0             1       
LUCApartment-MD             11,242     0.298        0.457          0             1       
LUCBusiness                 11,242     0.066        0.248          0             1       
LUCOther                    11,242     0.206        0.404          0             1       
LUCResort                   11,242     0.050        0.219          0             1       
condAverage                 11,242     0.174        0.379          0             1       
condExcellent               11,242     0.341        0.474          0             1       
condAbove Average           11,242     0.462        0.499          0             1       
condFair                    11,242     0.023        0.150          0             1       
Parking0                    11,242     0.097        0.296          0             1       
Parking1                    11,242     0.454        0.498          0             1       
Parking2                    11,242     0.429        0.495          0             1       
Parking3                    11,242     0.010        0.097          0             1       
Parking4                    11,242     0.009        0.097          0             1       
Parking5 or More            11,242     0.001        0.034          0             1       
fld_zoneAE                  11,242     0.196        0.397          0             1       
fld_zoneA                   11,242     0.012        0.110          0             1       
fld_zoneAH                  11,242    0.0004        0.021          0             1       
fld_zoneAO                  11,242     0.075        0.264          0             1       
fld_zoneD                   11,242     0.301        0.459          0             1       
fld_zoneVE                  11,242     0.009        0.093          0             1       
fld_zoneX                   11,242     0.406        0.491          0             1       
-----------------------------------------------------------------------------------------

============================================================================================
Statistic                     N        Mean        St. Dev.         Min            Max      
--------------------------------------------------------------------------------------------
num_sale                    19,915     1.170         0.413           1              4       
Covid                       19,915     0.469         0.499           0              1       
Covid2                      19,915     0.406         0.491           0              1       
Cases                       9,337     295.142       549.641          0            4,021     
BathsFull                   19,915     2.402         0.988           0              17      
BathsHalf                   19,915     0.384         0.525           0              5       
BedsTotal                   19,915     3.815         1.276           0              25      
DOM                         19,915    41.134        55.743           0             739      
livSQFT                     19,915   1,881.649      914.437         220           17,408    
SQFTGarageCarport           19,915    331.666       231.548          0            4,444     
real.list.price             19,915 1,291,549.000 1,055,709.000  168,375.100   23,293,838.000
real.close.price            19,915 1,279,360.000  981,225.300   180,401.900   22,166,108.000
diff.price                  19,915   9,764.074    125,143.100  -2,010,000.000 6,900,000.000 
Basement                    19,915     0.027         0.163           0              1       
Split                       19,915     0.045         0.208           0              1       
PUD                         19,915     0.009         0.093           0              1       
LowRise                     19,915     0.000         0.000           0              0       
HighRise                    19,915     0.000         0.000           0              0       
Townhouse                   19,915     0.000         0.000           0              0       
Condotel                    19,915     0.000         0.000           0              0       
SingleFam                   19,915     0.921         0.270           0              1       
Duplex                      19,915     0.018         0.135           0              1       
MultiDwell                  19,915     0.041         0.199           0              1       
WalkUP                      19,915     0.000         0.000           0              0       
pool                        19,915     1.000         0.000           1              1       
Age                         19,915    39.856        22.977           0             123      
Age2                        19,915     2.116         1.996         0.000          15.129    
Age.r                       19,915     5.173        12.856           0              94      
SqftTotal                   19,915   2,103.600     1,115.660        220           23,350    
par_area                    19,915     0.887         3.527         0.021         128.918    
beach                       19,915     2.528         2.611         0.000          13.552    
park                        19,915     0.527         0.330         0.000          3.560     
hospital                    19,915     5.150         4.184         0.010          20.997    
airport                     19,915    10.901         5.594         1.274          30.986    
elem_sch                    19,915     1.042         0.809         0.016          7.453     
mid_sch                     19,915     2.481         1.822         0.037          17.684    
high_sch                    19,915     2.568         1.736         0.037          17.684    
